-да	ю
даб	о
дабба	о,с
дабдаба	о
дабдабабоз	о
дабдабабозлик	о
дабдабадор	с
дабдабали	с
дабдала	ф
дабдурустдан	р
дабир	о
дабла	о
дав	о
даванги	с
давангидай	с
давангидек	с
давангирдай	с
давангирдек	с
давара	о
даввор	о
дав-даска	о
дав-дастак	о
давача	о
давир	о
давкар	с
давкаш	о
давлат	о
давлатбой	о
давлатбоши	о
давлатлараро	с
давлатли	с
давлатманд	с
давлатмандлик	о
давлатпаноҳ	о
давлатхона	о
давлатхоҳ	о
давлатчилик	о
даво	о
давобахш	с
даволамоқ	ф
даволанмоқ	ф
даволанувчи	о
даволатмоқ	ф
даволовчи	о
давом	о
давомат	о
давомида	к
давомийлик	о
давомли	с
давомсиз	с
давомчи	о
давосиз	с
давот	о
давотхона	о
давохона	о
давр	о
давра	о
даврапоя	о
давр-даврон	о
даврий	с
даврийлик	о
даврон	о
давшан	о
дагала	о
дагалай	о
дагир	о
дагиш	о
дада	о
дадил	с
дадилланмоқ	ф
дадиллашмоқ	ф
дадиллик	о
дадилона	р
даёв	о
дажжол	о
дазгил	о
дазгир	о
дазмол	о
дазмолламоқ	ф
дазмолчи	о
дайди	с
дайдиланмоқ	ф
дайдилик	о
дайдимоқ	ф
дайн	о
дайр	о
дайработ	о
дак	о
дака	о
дакаваррак	о
дакан	с
дакана	о
даканг	с,т
даканглатмоқ	ф
даккам-дуккам	с
дакки	о
дакки-дашном	о
дакрон	о
дактил	с
дактилография	о
дактилология	о
дактилоскопия	о
дал	р,о
дала	о
далабоп	с
дала-дашт	о
далай-лама	о
даласичқон	о
далатоб	с
дала-тош	о
дала-туз	о
далачи	о
далачилик	о
далачой	о
далбангламоқ	ф
далв	о
далва-далва	с
далда	о
дали	о
дали-девона	о
далил	о
далилламоқ	ф
далил-исбот	о
далилсиз	с
далир	с
дали-телба	о
дали-ғули	с
далла	о
далли	о
даллик	о
даллок	о
даллол	о
даллолбоши	о
даллоллик	о
даллолчилик	о
далойилхона	о
далолат	о
далолатнома	о
далон	о
дальтонизм	о
дам	о
дамба	о
дам-бадам	р
дамбаламоқ	ф
дам-дам	р
дамгар	о
дамгарлик	о
дамгир	о
дамдуз	с
дамида	ф
дамка	о
дамкўта	о
дамлам	о
дамлама	о
дамламоқ	ф
дамланмоқ	ф
дамлик	с
дамлоғлик	с
даммадам	р
даммал	с
дамодам	р
дамсоз	о
дамтовоқ	о
дамчўп	о
дамқисма	о
данак	о
данакдек	с
данакдай	с
данакор	о
данг	о
дангал	с
дангаллик	о
дангалнишин	о
дангалчи	с
дангалчилик	о
дангана	о
дангаса	с
дангасалик	о
данг-дунг	т
дангир-дунгур	т
дандана	о
дандона	о
данданадор	с
дандон	о
дандонбозлик	о
дандонсоп	с
данқа	о
данғ	т
данғ-дунғ	т
данғил	с
данғиллаган	с
данғиллама	с
данғилламоқ	ф
данғир-дунғур	т
даосизм	о
дапқир-дапқир	р
дара	о
даража	о
даража-бадаража	р
даражаламоқ	ф
даражали	с
даражама-даража	р
дарак	о
даракламоқ	ф
даракнома	о
дараксиз	р
даракчи	о
дарангламоқ	ф	
даранғ-дурунғ	т
даранғлаган	ф
даранғламоқ	ф
дарахт	о
дарахтзор	о
дарахтзорлик	о
дарахтсимон	с
дарбадар	о
дарбадарлик	о
дарбанд	о
дарбоз	о
дарбоза	о
дарбозабон	о
дарбозабеги	о
дарбозий	о
дарбон	о
дарбор	о
дарвеш	о
дарвешваш	с
дарвешлик	о
дарвешнамо	с
дарвешнамолик	о
дарвешона	с,р
дарвешсифат	с
дарветабиат	с
давинизм	о
дарвоз	о
дарвоза	о
дарвозабеги	о
дарвозабон	о
дарвозабонлик	о
дарвозахона	о
дарвоқе	р,у
дарвоқеан	у
даргоҳ	о
даргумон	р
дард	о
дард-алам	о
дардарак	о
дарддош	о
дарддошлик	о
дарди-дунё	о
дардисак	о
дардисар	о
дардиҳол	о
дардкаш	о
дардлашмоқ	ф
дардли	с
дардманд	с
дардмандлик	о
дарднок	с
дардсинмоқ	ф
дард-фалокат	о
дардчил	с
дард-ҳасрат	о
дарё	о
дарё-дарё	сн
дарёдил	с
дарёчи	о
дарж	о
дарз	с
дарий	о
дарича	о
дариғ	у
дариғо	у
даркор	м
дармана	о
дарманали	с
дармиён	о
дармон	о
дармонбахш	с
дармонда	с
дармондори	о
дармонсиз	с
дармонсизланмоқ	ф
дармонсизлашмоқ	ф
дармонсизлик	о
дароз	с
даройи	о,с
даромад	о
дарпарда	о	
дарра	о
дарраламоқ	ф
дарралатмоқ	ф
дарранда	о
даррасолди	о
дарров	р
дарс	о
дарслик	о
дарсхона	о
дархон	о
дарча	о
дарға	о
дарғазаб	с
дарғали	о
дарғинлар	о
дарҳам	о
дарҳақиқат	р,м
дарҳол	р
дасиса	о
даскана	о
даст	о,р
даста	о
даставвал	р
даста-даста	сн
дастак	о
дастаки	с
дасталамоқ	ф
дастали	с
дасталик	с
дастарра	о
дастгир	о
дастгоҳ	о
дастоҳсозлик	о
дастёр	о
дастёрлик	о
дастёрчилик	о
дасткаллак	о
дасткола	о
дастлаб	р
дастлабки	сн
дастмол	о
дастмоя	о
дастор	о
дасторбанд	о
дасторбош	о
дасторгул	о
дастпанжа	о
дастрўмол	о
дастрўмолча	о
дасттеша	о
дастур	о
дастуриламал	о
дастурий	с
дастурхон	о
дастурхонлик	с
дастурхонсиз	с
дастурхончи	о
дастурхончилик	о
дастхат	о
дастшў	о
дастшўй	о
даф	о
дафина	о
дафн	о
дафна	о
дафтар	о
дафтардор	о
дафтардорлик	о
дафтарнавис	о
дафтарча	о
дафтар-қалам	о
дафъа	сн
дафъатан	р
дахл	о
дахлдор	с
дахлдорлик	о
дахллашмоқ	ф
дахлли	о
дахлсиз	с
дахлсизлик	о
дахма	о
дахмаза	о
дача	о
дашном	о
дашт	о
дашт-биёбон	о
даштлик	о
даштпиёз	о
дашша	о
дашқозон	о
дашқол	о
даъват	о
даъваткор	о
даъватнома	о
даъво	о
даъвогар	о
даъвогарлик	о
даъволашмоқ	ф
даюс	о
дақёнус	с
дақиқа	о
дақиқали	с
дақиқалик	с
даққи	с
даққиюнус	о
дағал	с
дағаллашмоқ	ф
дағаллик	о
дағ-дағ	т
дағдаға	о
даҳа	о
даҳабоши	о
даҳан	о
даҳана	о
даҳанак	о
даҳанаки	с
даҳбеди	о
даҳбоши	о
даҳлиз	о
даҳмарда	о
даҳо	о
даҳовий	с
даҳолик	о
даҳр	о
даҳриёна	c
даҳрий	о
даҳрийлик	о
даҳсар	о
даҳшат	о
даҳшатланмоқ	ф
даҳшатли	с
даҳшатхона	о
даҳяк	о
даҳякчи	о
двигатель	о
движок	о
дворян	о
дворянлар	о
де-	ю
деб	ф
дебентура	о
дебет	о
дебитор	о
дебиторлик	о
дебо	о
дебон	ф
дебоча	о
дебют	о
дебютант	о
дев	о
девламоқ	ф
девальвация	о
девбанд	о
девдай	с
девзира	о
девиз	о
девкор	о
девкорона	р
девол	о
деволзан	о
деволбоп	с
девон	о
девона	о
девонавачча	о
девонаваш	с
девонавор	р
девоналик	о
девонасифат	с
девонбачча	о
девонбеги	о
девонбек	о
девонхона	о
девор	о
деворбоп	с
девор-дармиён	с
деворзан	о
деворзанлик	о
деворий	с
деворсимон	с
деворсоат	о
девортаги	о
девортешар	с
девор-тош	о
девпечак	о
девсар	с
девсимон	с
девсифат	с
девхона	о
девчарх	о
девюрак	с
девқадам	о
девқомат	с
дегазатор	о
дегазация	о
деган	ф
дегенерация	о
дегрез	о
дегрезлик	о
дегунча	р
дегустатор	о
дегустатция	о
дедуктив	с
дедукция	о
дежур	о
дежурлик	о
дез-	ю
дезактивация	о
дезертир	о
дезертирлик	о
дезинсекция	о
дезинфектор	о
дезинфекция	о
дезинфекцияламоқ	ф
деизм	о
дейишмоқ	ф
декабрь	о
декада	о
декадент	о
декадентлик	о
декан	о
деканат	о
деканлик	о
декламация	о
декламациячи	о
декларация	о
декоратив	с
декоратор	о
декорация	о
декрет	о
декча	о
делвагай	о
делегат	о
делегатлик	о
делегация	о
делимитация	о
дело	о
дельта	о
дельфин	о
дельфинарий	о
дельфинсимонлар	о
демагог	о
демагогия	о
демагоглик	о
демак	ф,м
демакки	м
демаркация	о
демарш	о
демилитаризация	ф
демисезон	о
демобилизация	о
демографик	с
демография	о
демократ	о
демократизм	о
демократик	с
демократия	о
демократлашмоқ	ф
демонтаж	ф
демоқ	ф
демпинг	о
денатурат	о
денатурализация	о
денгиз	о
денгизчи	о
дендрарий	о
дендрит	о
дендрология	о
дендропарк	о
деноминация	о
денонсация	о
депара	о
департамент	о
депеша	о
депиляция	о
депма	о
депо	о
депозит	о
депозитарий	о
депозитор	о
депонент	о
депортация	о
депрессия	о
депсамоқ	ф
депсимоқ	ф
депсинмоқ	ф
депутат	о
депутатлик	о
дераза	о
деразасимон	с
деразатокча	о
деразақопқоқ	о
дератизация	о
деривацион	с
деривация	о
дерматин	о
дерматит	о
дерматолог	о
дерматология	о
десант	о
десантчи	о
десат	о
десатина	о
десерт	о
десикация	о
деспотизм	о
десятина	о
десятник	о
деталь	о
деталлаштирмоқ	ф
детектив	о,с
детектор	о
детекторлаш	о
детекторли	с
детерминизм	о
детерминист	о
детонатор	о
детонация	о
детрит	о
де-факто	о
дефект	о
дефектолог	о
дефектология	о
дефектоскоп	о
дефектоскопия	о
дефиниция	о
дефиз	о
дефицит	о
дефляция	о
дефолиантлар	о
дефолиация	о
деформация	о
дециграмм	о
децилитр	о
дециметр	о
дешифровка	о
де-юре	о
деяйлик	у
деярли	р
деярлик	р
деҳқон	о
деҳқонбоп	с
деҳқонлик	о
деҳқонпарвар	о
деҳқонсифат	с
деҳқончасига	р
деҳқончилик	о
деҳқончумчуқ	о
джаз	о
дзот	о
дзюдо	о
дзюдочи	о
ди-	сн
диа-	с
диабет	о
диагноз	о
диагностика	о
диагональ	о
диаграмма	о
диакритик	о
диалект	о
диалектал	с
диалектизм	о
диалектик	с
диалектика	о
диалектолог	о
диалектология	о
диалог	о
диалогик	с
диаметр	о
диапазон	о
диапозитив	о
диаспора	о
диатез	о
диафильм	о
диафрагма	о
диахроник	с
диахрония	о
диван	о
диверсант	о
диверсия	о
диверсиячи	о
диверсиячилик	о
дивиденд	о
дивизион	о
дивизия	о
дигар	с
дид	о
дида	о
дидактизм	о
дидактик	с
дидактика	о
дидбон	о
дидбонлик	о
дидламоқ	ф
дидли	с
дидлик	с
дидсиз	с
дид-фаросат	о
диета	о
диетик	с
диетология	о
диетотерапия	о
диёнат	о
диёнатли	с
диёнатпеша	о
диёнатсиз	с
диёр	о
дизайн	о
дизайнер	о
дизелли	с
дизель	о
дизель-мотор	о
дизентерия	о
дизилламоқ	ф
дийда	о
дийдагирён	о
дийдиё	о
дийдирамоқ	ф
дийдор	о
дийдорлашмоқ	ф
дик	р,т
диканг-диканг	т
дикангламоқ	ф
диканглатмоқ	ф
дик-дик	ф
дикдикка	о
дикилламоқ	ф
дикиллатмоқ	ф
дикир	р
дикир-дикир	т
дикирламоқ	ф
диккаймоқ	ф
диккайтирмоқ	ф
диккак	о
диконг-диконг	т
диконламоқ	ф
дикраймоқ	ф
диктант	о
диктатор	о
диктаторлик	о
диктатура	о
диктовка	о
диктовкачи	о
диктор	о
диктофон	о
дикция	о
дил	о
дилабгор	о
дилафгор	о
дилафгорлик	о
дилафзо	о
дилафкор	о
дилафрўз	о
дилбанд	о,с
дилбар	с,о
дилбарлик	о
дилбаста	о
дилгир	о
дилгирлик	о
дилдирамоқ	ф
дилдор	о,с
дилдорлик	о
дилдош	о
дилемма	о
дилер	о
дилерлик	о
дилжам	с
дил-жигар	о
дил-жон	о
дилижон	о
диликаптар	о
дилкаш	с
дилкашлик	о
дилкушо	о
дилнавоз	с,о
дилнавозлик	о
диловар	с
диловарлик	о
дилозор	с
дилозорлик	о
дилоро	с
дилором	с
дилпазир	с
дилпарвар	о
дилписанд	о
дилпора	о
дилрабо	с
дилраболик	о
дилроз	о
дилсиёҳ	о
дилсиёҳлик	о
дилсўз	о
дилсўзлик	о
дилтанг	с
дилтанглик	о
дилтортар	с
дилфигор	о
дилхаста	с
дилхасталик	о
дилхиралик	о
дилхирож	о
дилхона	о
дилхоҳ	о
дилхун	о
дилхунлик	о
дилхуш	о
дилхушлик	о
дилшикаст	с
дилшикаста	с
дилшикасталик	о
дилшикастлик	о
дилшод	с
дилшодлик	о
дилғаш	с
дилғашланмоқ	ф
дилғашлик	о
дим	с,р,ю
дим-дим	о
димиқ		о
димиқмоқ	ф
димлама	с,о
димламоқ	ф
димланмоқ	ф
димлик	о
димоғ	о
димоғдор	с
димоғдорлик	о
димоғли	с
димоғ-фироқ	о
дин	о
динамик	с
динамика	о
динамит	о
динамитчи	о
динамомашина	о
динамометр	о
династия	о
динг	т
дингилламоқ	ф
дингирламоқ	ф
диндор	с
диндорлик	о
диндош	о
диний	с
диния	о
динкаймоқ	ф
динозавр	о
динор	о
динсиз	с
динчи	с
динғ	т
динғилламоқ	ф
динғир	т
динғир-динғир	т
динғирламоқ	ф
диод	о
диодрама	о
диплом	о
дипломант	о
дипломат	о
дипломатик	с
дипломатика	о
дипломатия	о
дипломфуруш	о
дир	т
дирам	о
диргизламоқ	ф
дирдикка	о
дир-дир	р
дирдов	с
директив	с
директива	о
директор	о
директорлик	о
дирекция	о
дирижабль	о
дирижёр	о
дириллама	с
дирилламоқ	ф
диринг-диринг	р
дирингламоқ	ф
дирк	о
диркиллама	с
диркилламоқ	ф
дир	т,у
дирр	т,у
дирингламоқ	ф
дирҳам	о
дисгармония	о
диск	о
диска	о
дискаламоқ	ф
дискали	с
дисквалификация	о
дискета	о
дисковод	о
дисконт	о
дискотека	о
дискриминация	о
дискуссион	с
дискуссия	о
дислокация	о
диспансер	о
диспепсия	о
диспетчер	о
диспетчерлик	о
дисплазия	о
дисплей	о
диспрозий	о
диспропорция	о
диспут	о
диссертант	о
диссертация	о
диссидент	о
диссимиляция	о
диссонанс	о
диссоциация	о
дистанцион	с
дистанция	о
дистилламоқ	ф
дистиллят	о
дистиллятор	о
дистилляция	о
дистрофик	о,с
дистрофия	о
дифтерит	о
дифтерия	о
дифтонг	о
дифференциал	о,с
дифференциация	о
дифференцияламоқ	ф
диффуз	с
диффузия	о
дихотомия	о
диэлектрик	о,с
диққат	о,с
диққатбозлик	о
диққатланмоқ	ф
диққатлик	о
диққатпазлик	о
диққатсиз	с
диққатсизлик	о
диққатчилик	о
диққат-эътибор	о
диққинафас	о
диққинафаслик	о
до	о
добил	о
добилбоз	о
дов	с
дов-дарак	о
дов-дарахт	о
дов-даскак	о
дов-дастак	о
дов-дастгоҳ	о
довдир	с
довдирамоқ	ф
довдиратмоқ	ф
довдирлик	о
дов-жанжал	о
довламоқ	ф
довол	о
довон	о
довот	о
довруқ	о
довруқли	с
довул	о
довулбоз	о
довулли	с
довур	к,о
довучча	о
довуччаламоқ	ф
довуш	о
довушламоқ	ф
довчи	о
довюрак	с
догма	о
догматизм	о
догматик	о
договор	о
дод	у
дода	о
дод-бедод	о
дод-вой	о
додламоқ	ф
додрас	о
дод-фарёд	о
дод-фиғон	о
додхоҳ	о
доза	о
дозаламоқ	ф
дозатор	о
дозаторчи	о
дозиметр	о
дозиметрия	о
доим	р
доимий	с,р
доимо	р
доир	к
доира	о
доиравий	о
доирасимон	с
доирачи	о
дойи	с
дойра	о
дойрадаст	о
дойрачи	о
док	о
дока	о
докапаранг	о
докафуруш	о
докер	о
доклад	о
докладнома	о
докладчи	о
доктор	о
докторант	о
докторантура	о
докторлик	о
докторхона	о
доктрина	о
доктринёр	о
дол	с,р,о
дозарб	о,с
доли-гули	т
доллар	о
доллашмоқ	ф
доломит	о
долон	о
долчин	о
долға	о
долғаланмоқ	ф
долғали	с
дом	о
доман	о
домана	о
домангир	о
домат	о
дом-дарак	о
дом-дараксиз	с
доминанта	с
доминантлик	о
доминиканлар	о
доминион	о
домино	о
домкрат	о
домла	о
домна	о
домначи	о
домовой	о
домод	о
домонгир	о
домулла	о
дон	о
дона	сн
донабай	р
дона-дона	р
донадор	с
доналаб	р
донали	с
донача	о
донашўр	о
донашўра	о
донашўрак	о
донг	о
донгдор	с
донгли	с
дон-дуккакли	с
дон-дун	о
донжуан	о
донжуанлик	о
дониш	о
донишманд	о
донишмандлик	о
донламоқ	ф
донлашмоқ	ф
донли	с
донлик	с
донна	о
доно	о,с
донолик	о
донор	о
донорлик	о
донфуруш	о
донхона	о
донхўр	с
донхўрак	о
донғ	о,т
донғил	с
допинг	о
дор	о
дорбоз	о
дорбозлик	о
дор-дунё	о
дори	о
доривор	с
доригар	о
