заб	c,р,ю
забар	о
забардаст	с
забардастлик	о
забаржад	о
забастовка	о
забастовкачи	о
забой	о
забойчи	о
забон	о
забт	о
забткор	о
забтли	р
забун	с
забунлик	о
забур	о
забҳ	о
завж	о
завжа	о
завод	о
заводчи	о
завол	о
заволли	с
завхоз	о
завқ	о
завқбахш	с
завқёб	с
завқланмоқ	ф
завқли	с
завқ-шавқ	о
зада	с
задаланмоқ	ф
заём	о
заёмфурушлик	о
зажигалка	о
заиф	с
заифа	о
заифланмоқ	ф
зафилашмоқ	ф
заифлик	о
заифона	с
зайл	о
зайтун	о
зайтунзор	о
зак	о
заказ	о
заказчи	о
закалат	о
закан	о
закий	с
закийлик	о
зако	о
заковат	о
закот	о
закотчи	о
зал	о
залвар	о
залварли	с
залдивор	о
залил	с
залолат	о
залп	о
зам	о
замбар	о
замбарак	о
замбаракчи	о
замбил	о
замбилламоқ	ф
замбилкаш	о
замбилчи	о
замбилғалтак	о
замбур	о
замбуруғ	о
замзам	о
замзама	о
замзама	о
замин	о
заминдор	о
замир	о
замлама	о
замламоқ	ф
замма	о
заммаламоқ	ф
замон	о
замона	о
замонавий	с
замонавийлик	о
замонасоз	о
замонасозлашмоқ	ф
замонасозлик	о
замондош	о
замча	о
замша	о
замҳарир	о
занбар	о
занбил	о
занг	о
зангбор	с
занги	о
зангила	о
зангин	с
зангламоқ	ф
зангор	с
зангори	с
занжабил	о
занжи	о
занжир	о
занжира	о
занжирбанд	с
занжирламоқ	ф
занжорий	о
занталоқ	о
занғар	о
занғимоқ	ф
зап	с
запал	о
запас	о
заповедник	о
запонка	о
заправка	о
заправкачи	о
запт	о
зар	о
заранг	о,с
заранглик	о
зарангзор	о
зарар	о
зараркунанда	о
зараркунандалик	о
зараркунандачилик	о
зарарланмоқ	ф
зарали	с
зарарсиз	с
зарарсизлантирмоқ	ф
зарафшон	о
зарб	о
зарба	о
зарбали	с
зарбдор	с
зарбдорлик	о
зарбли	с
зарбдорчасига	р
зарбоф	с,о
зарбулмасал	о
зарбхона	о
зарварақ	с
заргар	о
заргарлик	о
зарда	о
зардабозлик	о
зардак	о
зардали	с
зардевор	о
зардоб	о
зардоли	о
зардор	с
зардушт	о
зардушти	о
зардўз	о
зардўзи	с
зардўзлик	о
зардўзчи	о
зарик	о
зарил	с
зариф	с,о
зарифа	с,о
заркамар	о
заркокил	о
зарли	с
зарнигор	с
зарофат	о
зарпечак	о
