йиг	о,т
йигирма	сн,о
йигирманчи	сн
йигирмоқ	ф
йигирув	ф,о
йигирувчи	о
йигит	о
йигитбоши	о
йигитларча	р
йигитлик	о
йигитча	р,о
йигитчасига	р
йигитчилик	о
йигит-яланг	о
йигна	о
йигчи	о
йил	о
йилбай	с
йилги	с
йилдирим	о
йилига	р
йиллаб	р
йилларча	р
йиллик	с,о
йилнома	о
йилномачи	о
йилт	т
йилтилламоқ	ф
йилтирамоқ	ф
йилтироқ	с
йилча	о
йилқи	о
йилқибон	о
йилқибоқар	о
йилқичи	о
йилқичилик	о
йилға	о
йипранмоқ	ф
йиргамчик	с
йирганмоқ	ф
йирганч	с
йирик	с
йирикламоқ	ф
йириклашмоқ	ф
йирилмоқ	ф
йиринг	о
йирингламоқ	ф
йирингли	с
йириқ	о
йирмоқ	ф
йирмоч	о
йироқ	с
йироқ-ёвуқ	о
йироқлашмоқ	ф
йиртиш	ф
йиртиқ	с
йиртиқ-ямоқ	с
йиртмоқ	ф
йиртқич	с
йиртқичлик	о
йитмоқ	ф
йиқилмоқ	ф
йиқитмоқ	ф
йиқиқ	с
йиқмоқ	ф
йиғи	о
йиғилиш	ф
йиғилмоқ	ф
йиғим	о
йиғим-терим	о
йиғин	о
йиғинди	о
йиғинчоқ	с
йиғичи	о
йиғиш	ф
йиғиштирмоқ	ф
йиғиқ	с
йиғиқлик	с
йиғламоқ	ф
йиғламсирамоқ	ф
йиғлоқ	с
йиғлоқи	с
йиғлоқилик	о
йиғма	с
йиғмоқ	ф
йиғнамоқ	ф
йиғноқ	с,о
йиғув	о
йиғувчи	ф,о
йог	о
йога	о
йогурт	о
йод	о
йодламоқ	ф
йодли	с
йўймоқ	ф
йўл	о
йўла	к
йўлак	о
йўлакай	р
йўламоқ	ф
йўлбарс	о
йўлбошчи	о
йўлбошчилик	о
йўлдош	о
йўлига	о
йўлиқмоқ	ф
йўл-йўл	с
йўл-йўлакай	р
йўл-йўриқ	о
йўлка	о
йўлкира	о
йўлламоқ	ф
йўлланма	о
йўлланмоқ	ф
йўлли	с
йўлма-йўл	с
йўловчи	о
йўлоёқ	о
йўлпашша	о
йўлсиз	с
йўлсизлик	о
йўлсоз	о
йўлтўсар	о
йўлтўсарлик	о
йўлчи	о
йўналиш	ф,о
йўналмоқ	ф
йўналтирмоқ	ф
йўндирмоқ	ф
йўниқ	с
йўнмоқ	ф
йўнғичқа	о
йўнғичқазор	о
йўнғичқапоя	о
йўргак	о
йўргакбоғ	о
йўргакламоқ	ф
йўриқ	о
йўриқнома	о
йўрма	о
йўрмадўз	о
йўрмадўзи	о
йўрмадўзлик	о
йўрмамоқ	ф
йўртмачоқ	с
йўртмоқ	ф
йўртоқ	с
йўртоқи	с
йўрға	о
йўрғаламоқ	ф
йўсин	о
йўтал	о
йўталмоқ	ф
йўқ	м
йўқлама	о
йўқламоқ	ф
йўқланди	о	
йўқлик	о
йўқлов	о
йўқловчи	о
йўқолмоқ	ф
йўқотиш	ф
йўқотмоқ	ф
йўқса	б
йўқсил	с
йўқча	сн
йўқчи	о
йўқчилик	о
йўғирмоқ	ф
йўғон	с
йўғонлашмоқ	ф
йўғонлик	о
йўғрилмоқ	ф
