-ю	ю,б
юань	о
юбилей	о
юбиляр	о
юбка	о
юбормоқ	ф
ювиб-тарамоқ	ф
ювинди	о
ювиндихўр	о
ювинмоқ	ф
ювмоқ	ф
ювош	с,р
ювошланмоқ	ф
ювошлашмоқ	ф
ювошлик	о
ювуқли	с
ювуқсиз	с
ювғучи	о
юган	о
юганламоқ	ф
юганли	с
югургиламоқ	ф
югурдак	о
югурдаклик	о
югурик	с
югуриш	ф
югурмоқ	ф
югуртирмоқ	ф
югуртмоқ	ф
югур-югур	о
юз	о,сн
юза	о,р
юзаки	с,р
юзакичилик	о
юзасидан	к
юзбоши	о
юзкўрди	о
юзланмоқ	ф
юзлашмоқ	ф
юзли	с
юзлик	о
юзма-юз	р
юзмоқ	ф
юзпана	о
юзсиз	с
юзсизлик	о
юзта	сн
юзталик	с,о
юзтубан	р
юз-хотир	о
юзхотирчилик	о
юк	о
юккаш	о
юклама	о
юкламоқ	ф
юкли	с
юксак	с
юксаклик	о
юксалиш	ф
юксалмоқ	ф
юкунмоқ	ф
юкчи	о,с
юлдуз	о
юлдузли	с
юлдузсимон	с
юлдузча	о
юлдузшунос	о
юлишмоқ	ф
юлмоқ	ф
юлуқ	с
юлқиламоқ	ф
юлқимоқ	ф
юлғич	о
юлғичлик	о
юлғун	о
юлғунзор	о
юмаламоқ	ф
юмаланмоқ	ф
юмалоқ	с
юмалоқ-ёстиқ	о
юмалоқламоқ	ф
юмалоқлик	о
юмалоқ-ясси	о
юмдаламоқ	ф
юмма	о
юмма-юмма	р
юммоқ	ф
юмор	о
юморист	о
юмористик	с
юмрон	о
юмронқозиқ	о
юмуртқа	о
юмуш	о
юмушкор	с
юмушли	с
юмушсиз	с
юмушчи	о
юмуқ	с
юмшалмоқ	ф
юмшамоқ	ф
юмшармоқ	ф
юмшатиш	ф
юмшатмоқ	ф
юмшоқ	с
юмшоқланмоқ	ф
юмшоқлик	о
юм-юм	сн
юнг	о
юнгли	с
юнди	о
юндихўр	о
юнкер	о
юнон	о
юпанмоқ	ф
юпанч	о
юпанчиқ	о
юпанчли	с
юпатгулик	с
юпатмоқ	ф
юпатқич	о
юпитер	о
юпун	о
юпқа	с,о
юпқаланмоқ	ф
юпқалашмоқ	ф
юпқармоқ	ф
юрак	о
юракбуруғ	о
юракдош	о
юракзада	с
юракли	с
юраксиз	с
юраксизлик	о
юраксинмоқ	ф
юрамол	с
юрағон	с
юргизилмоқ	ф
юргизмоқ	ф
юргилик	о
юридик	с
юримсак	с
юрисдикция	о
юрисконсульт	о
юриспруденция	о
юрист	о
юристлик	о,с
юритилмоқ	ф
юритмоқ	ф
юриш	ф
юришли	с
юришмоқ	ф
юриш-туриш	о
юрмоқ	ф
юрт	о
юртбоши	о
юртгарчилик	о
юртдош	о
юртфуруш	о
юртчилик	о
юрувсиз	с
юрум	о
юрумсак	с
юруқ	ф
юруқсиз	с
юрғусиз	с
юстиция	о
ют	о
ютамоқ	ф
ютинмоқ	ф
ютишмоқ	ф
ютмоқ	ф
ютоқ	с
ютоқи	с
ютоқмоқ	ф
ютум	о
ютуқ	о
ютуқли	с
ютуқсиз	с
ютқизиш	о
ютқизиқ	о
ютқизиқсиз	с
ютқизмоқ	ф
ютқинмоқ	ф
юқ	о
юқа	о
юқмоқ	ф
юқори	о,сн
юқориги	с
юқориламоқ	ф
юқориланмоқ	ф
юқорилашмоқ	ф
юқорилик	о
юқтирмоқ	ф
юқувчан	с
юқумли	с
юқумсиз	с
юқумсизлантирмоқ	ф
юқумчил	с
юқ-юрун	о
юғурма	о
юҳо	о,с
