-я	ю
ягана	о
яганаламоқ	ф
яганачи	о
ягона	с,о,ю
ядро	о,с
ядровий	с
яёв	о,с,р
яёвламоқ	ф
яздон	о
язна	о
яйдов	с
яйдоқ	с
яйламоқ	ф
яйлов	о
яйлоқ	о
яйрамоқ	ф
яйратмоқ	ф
яйрашмоқ	ф
як	сн
якан	о
якандоз	о
яканчи	о
якбора	р
якдил	с
якдиллик	о
якдона	о,с,р
якка	о,с,р
яккабош	с
яккабошчилик	о
якка-дукка	с
якка-ёлғиз	с,р
яккаламоқ	ф
яккалик	о
яккама-якка	р
яккам-дуккам	с
яккамохов	с
яккахон	с
яккачўп	о
яккаш	р
якка-ярим	с
яккақўл	с
яккаҳол	с
якорь	о
якрўя	с
яксон	с
яксонламоқ	ф
яктак	о
яктакчан	с
яктан	с
якто	с
якун	о
якунламоқ	ф
якшанба	о
якшанбалик	о
якқалам	с
ялаб-юлқамоқ	ф
ялакат	с
ялам	о
ялама	с
яламоқ	ф
яламсиқ	с
яламур	с
яланг	с,о,р
ялангламоқ	ф
яланглик	о
ялангтўш	с
яланмоқ	ф
ялансимоқ	ф
яланғоч	с
яланғочламоқ	ф
яланғочлик	о
ялатма	р
ялинмоқ	ф
ялинчоқ	с
ялинчоқлик	о
ялла	о
ялла-бепарво	с
яллачи	о
яллақамоқ	ф
яллиғ	о
яллиғламоқ	ф
яллиғланиш	о
яллиғланмоқ	ф
ялло	о
ялмон	о
ялмоғиз	о,с
ялов	о
яловбардор	о
яловдор	о
яловкаш	о
ялоқ	о
ялоқи	с
ялоқхўр	с
ялпаймоқ	ф
ялпангламоқ	ф
ялпи	ол,р
ялпиз	о
ялпизламоқ	ф
ялписига	р
ялпоқ	с
ялпоқламоқ	ф
ялпоқланмоқ	ф
ялт	т
ялтилламоқ	ф
ялтирамоқ	ф
ялтирбош	с,о
ялтироқ	с
ялтоқ	с
ялтоқланмоқ	ф
ялтоқлик	о
ялт-юлт	т
ялчимоқ	ф
ял-ял	р
ялқамсиқ	с
ялқов	с,о
ялқовланмоқ	ф
ялқовлашмоқ	ф
ялқовлик	о
ялғарс	с
ялҳак	с
ялҳаклик	о
ямаб-ясқаб	р
ямамоқ	ф
ямашмоқ	ф
ямламоқ	ф
ямланмоқ	ф
ямоқ	о,с
ямоқчи	о
ямоқчилик	о
ямоқ-ясқоқ	с,о
яна	р
янаги	с
янада	р
январь	о
янга	о
янги	с
янгидан	р
янгиламоқ	ф
янгилик	о
янгитдан	р
янгитта	р
янгича	р
янгичасига	р
янглиш	с,о
янлишмоқ	ф
янглиғ	к
янграмоқ	ф
янгроқ	с
янмоқ	ф
янтоқ	о
янтоқзор	о
янчмоқ	ф
япалоқ	с
япалоқламоқ	ф
япалоққуш	о
япасқи	с
япасқиламоқ	a
япон	о,с
японлар	о
японча	с,о
япроқ	о
япроқламоқ	ф
яра	о
ярадор	с
яраламоқ	ф
ярали	с
яралмоқ	ф
ярамайди	с
ярамас		с,о
ярамаслик	о
ярамоқ	ф
яратган	с,о
яратмоқ	ф
яратувчи	с
яратувчилик	о
яра-чақа	о
яраш	о
яраша	к
ярашиш	о,ф
ярашиқ	с
ярашиқли	с
ярашмоқ	ф
ярақ	т
ярақламоқ	ф
ярим	о,с,ол
яримавтомат	о
ярим-ёрти	р
яримжон	с
яримламоқ	ф
яриморол	о
яримта	о,с
яримтаки	с
яримталик	о
яримта-юримта	с
яримфабрикат	о
яримчилик	о
яримўтказгичлар	о
ярлақамоқ	ф
ярмарка	о
яроқли	с
яроқсиз	с
яроғ	о
яроғланмоқ	ф
яроғли	с
яроғсиз	с
яроғсизланмоқ	ф
яроғсоз	о
яроғсозлик	о
яроғхона	о
ярус	о
ярқ	т
ярқилламоқ	ф
ярқирамоқ	ф
ярқироқ	с
ярғичоқ	с
ярғоқ	с
ясадоқ	с
ясама	с
ясамалик	с
ясамоқ	ф
ясанмоқ	ф
ясан-тусан	о,с
ясанчоқ	с
ясатиқ	с
ясатиғлиқ	с
ясатмоқ	ф
ясланмоқ	ф
ясли	о
ясмин	о
ясмиқ	о
ясов	о
ясовул	о
ясовулбоши	о
ясовулхона	о
ясовчи	с
ясоқ	о
ясоғлиқ	с
ясси	с
яссиламоқ	ф
яссилик	о
ястанмоқ	ф
ясқоқ	о
ятима	о
ях	о
яхакижон	о
яхдай	с
яхдон	о
яхламоқ	ф
яхлит	с
яхлитламоқ	ф
яхлитлик	о
яхмалак	о
яхна	с
яхоб	о
яхта	о
яхтак	о
яхтакчи	о
яхтсмен	о
яхши	с,м
яхшики	м
яхшилаб	р
яхшиламоқ	ф
яхшиланмоқ	ф
яхшилик	о
яхшиликча	р
яхшиси	м
яхшиям	м
яша	у
яшавор	у
яшамоқ	ф
яшар	с
яшармоқ	ф
яшаш	ф,о
яшик	о
яшил	с
яшилланмоқ	ф
яшиллик	о
яшин	о
яшинмачоқ	о
яшин-топалоқ	о
яширин	с,р
яширинмоқ	ф
яширинча	р
яшириқ	р
яшириқлик	с
яшириқча	р
яширмоқ	ф
яшнамоқ	ф
яшнатмоқ	ф
яшноқ	с
яшовчан	с
яшшамагур	о
яхжуж-маъжуж	о
яъни	б
яқин	с
яқинда	р
яқиндаги	с
яқиндан	р
яқинламоқ	ф
яқинлашмоқ	ф
яқинлаштирмоқ	ф
яқинлик	о
яққол	р
яғир	о
яғмо	о
яғрин	о
яғриндор	с
яғринли	с
яҳудий	о,с
яҳудийлар	о
