ё	у,б
ёби	о
ёбон	о
ёбу	о
ёв	о
ёвар	о
ёввойи	с
ёввойилашмоқ	ф
ёввойилик	о
ёввош	с
ёввошланмоқ	ф
ёвгарчилик	о
ёв-ёв	о
ёвламоқ	ф
ёвлик	о
ёвмут	о
ёвон	о
ёвуз	с
ёвузларча	р
ёвузлашмоқ	ф
ёвузлик	о
ёвуқ	с
ёвуқлашмоқ	ф
ёвчи	о
ёвчилик	о
ёвшан	о
ёвшанзор	о
ёв-яроқ	о
ёвқур	с
ёвқурлик	о
ёвғон	о
ёвғонсирамоқ	ф
ёд	о
ёдакай	р
ёдакасига	р
ёдаки	р
ёдгор	о
ёдгорлик	о
ёдламоқ	ф
ёднома	о
ёз	о
ёзги	с
ёздирмоқ	ф
ёзилмоқ	ф
ёзин-қишин	р
ёзишма	о
ёзишмабозлик	о
ёзиқ	о,с
ёзиқли	с
ёзиқсиз	с
ёзламоқ	ф
ёзлик	с
ёзлоқ	о
ёзма	c
ёзмиш	о
ёзмоқ	ф
ёзу қиш	о
ёзув	ф
ёзувчи	о,ф
ёзув-чизув	о	
ёзувчилик	о
ёзуғ	о,с
ёзғич	о
ёзғучи	ф
ёинки	б
ёй	о
ёй-ўқ	о
ёйилма	о
ёйилмоқ	ф
ёйиқ	с
ёйиғлиқ	с
ёйламоқ	ф
ёйлоқ	о
ёйма	с
ёймачи	о
ёймачилик	о
ёймоқ	ф
ёйсимон	с
ёки	б
ёл	о
ёлвормоқ	ф
ёлдор	с
ёлламоқ	ф
ёлланма	с
ёлли	с
ёлпеч	о
ёлпўш	о
ёлпўшламоқ	ф
ёлчимоқ	ф
ёлчитмоқ	ф
ёлқамсиқ	с
ёлқин	о
ёлқинланмоқ	ф
ёлқинли	с
ёлғиз	с,ю
ёлғизламоқ	ф
ёлғизлик	о
ёлғизоёқ	с
ёлғизқўл	с
ёлғон	с,о
ёлғондака	с,р
ёлғондакам	с,р
ёлғондан	р
ёлғонламоқ	ф
ёлғонлик	о
ёлғончи	о
ёлғончилик	о
ёлғон-яшиқ	с
ём	о
ём-ём	о
ёмби	о
ёмон	с
ёмонламоқ	ф
ёмонлашмоқ	ф
ёмонлик	о
ёмонотлиқ	о
ёмғир	о
ёмғиргарлик	о
ёмғиргарчилик	о
ёмғирлатиб	р
ёмғирлик	о
ёмғирпўш	о
ён	о
ёна	о
ёнаки	р
ёнар	с
ён-атроф	о
ёнбағир	о
ён-бери	о
ёнашмоқ	ф
ёнбош	о
ёнбошига	к
ёнбошида	к
ёнбошидан	к
ёнбошлама	р
ёнбошламоқ	ф
ёндама	р
ёндамалаб	р
ёндамасига	р
ёндамоқ	ф
ёндафтар	о
ёндашмоқ	ф
ёндашув	ф
ёндирмоқ	ф
ёндор	о
ёндош	с,к
ёндошмоқ	ф
ён-ёқ	о
ёни-вери	о
ёнига	к
ёнида	к
ёнидан	к
ёнилғи	о
ёниқ	с
ёнлама	р
ёнламоқ	ф
ёнма-ён	р
ёнйўрға	о
ёнмоқ	ф
ёноқ	о
ёнчиқ	о
ёнғин	о
ёнғоқ	о
ёнғоқзор	о
ёп	о
ёпди-ёпди	о
ёпилмоқ	ф
ёпинмоқ	ф
ёпинчиқ	о
ёпирай	у
ёпирилмоқ	ф
ёпирим	у
ёпишмоқ	ф
ёпишоқ	с
ёпиштирмоқ	ф
ёпишқоқ	с
ёпиқ	с
ёпмоқ	ф
ёпоғи	о
ёппа	р
ёппа-ёлғиз	с
ёппасига	р
ёпқич	о
ёр	о
ёр-биродар	о
ёрдам	о
ёрдамида	к
ёрдамлашмоқ	ф
ёрдамчи	о
ёр-дўст	о
ёр-ёр	о
ёр-жўра	о
ёри	о
ёрий	о
ёрилмоқ	ф
ёримоқ	ф
ёриткич	о
ёритмоқ	ф
ёритқич	о
ёришмоқ	ф
ёриқ	с
ёрлашмоқ	ф
ёрлақамоқ	ф
ёрлиқ	о
ёрма	о
ёрмоқ	о
ёрон	о
ёронгул	о
ёр-оғайни	о
ёрти	сн
ёруғ	о
ёруғлашмоқ	ф
ёруғлик	о
ёруғсевар	с
ёрш	о
ёрқанот	о
ёрқин	с
ёрқинлик	о
ёрғи	о
ёрғоқ	о
ёрғучоқ	с
ёсин	о
ёсмин	о
ёстиқ	о
ёстиқдош	о
ёстиқпўш	о
ёстиқча	о
ёсуман	о
ёт	с
ёт-бегона	с
ёталоқ	с
ётар-турар	о
ётағон	с
ётинқирамоқ	ф
ётишмоқ	с
ётиқ	с
ётлашмоқ	ф
ётлик	о
ётмоқ	ф
ётоқ	о
ётоқдош	о
ётоқи	с
ётоқиламоқ	ф
ётоқхона	о
ётоқчиламоқ	ф
ётсинмоқ	ф
ётсирамоқ	ф
ётқизилмоқ	ф
ётқизиқ	о
ётқизмоқ	ф
ёхуд	б
ёш	о,с
ёшармоқ	ф
ёшдош	с
ёшлай	р
ёшламоқ	ф
ёшланмоқ	ф
ёшлар	о
ёшли	с
ёшлик	о
ёшулли	с
ёш-яланг	о
ёш-қари	о
ёқ	о
ёқа	о
ёқавайрон	с
ёқавалангор	с
ёқаламоқ	ф
ёқалашмоқ	ф
ёқалик	с
ёқама-ёқа	о
ёқилғи	о
ёқимли	с
ёқимлилик	о
ёқимсиз	с
ёқимтой	с
ёқинқирамоқ	ф
ёқиқ	с
ёқиқли	с
ёқлама	с
ёқламоқ	ф
ёқли	с
ёқмоқ	ф
ёқти	с
ёқувчи	ф
ёқут	о
ёқутлар	о
ёғ	о
ёғалоқ	с
ёғдай	с
ёғдирмоқ	ф
ёғду	о
ёғий	о
ёғийлик	о
ёғилмоқ	ф
ёғин	о
ёғингарчилик	о
ёғин-сочин	о
ёғин-чочин	о
ёғиш	о
ёғламоқ	ф
ёғли	с
ёғлоғи	о
ёғмоқ	ф
ёғоч	о
ёғочли	с
ёғочсоз	о
ёғочсозлик	о
ёғсирамоқ	ф
ёғупа	о
ёғчи	о
ёғчироқ	о
ёғчова	о
ёҳу	у
